 0.00000000e+00  1.60000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  1.40000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.60000009e+00 
 1.00000000e-11  1.60000000e+00  1.00000000e-11  1.50000000e+00  1.00000000e-11  1.40000000e+00  1.00000000e-11  1.30000000e+00  1.00000000e-11  1.80000000e-02  1.00000000e-11  1.80000000e-02  1.00000000e-11  1.78200000e+00  1.00000000e-11  1.78200000e+00  1.00000000e-11  1.60001947e+00 
 2.00000000e-11  1.60000000e+00  2.00000000e-11  1.50000000e+00  2.00000000e-11  1.40000000e+00  2.00000000e-11  1.30000000e+00  2.00000000e-11  3.60000000e-02  2.00000000e-11  3.60000000e-02  2.00000000e-11  1.76400000e+00  2.00000000e-11  1.76400000e+00  2.00000000e-11  1.60004096e+00 
 4.00000000e-11  1.60000000e+00  4.00000000e-11  1.50000000e+00  4.00000000e-11  1.40000000e+00  4.00000000e-11  1.30000000e+00  4.00000000e-11  7.20000000e-02  4.00000000e-11  7.20000000e-02  4.00000000e-11  1.72800000e+00  4.00000000e-11  1.72800000e+00  4.00000000e-11  1.60008484e+00 
 8.00000000e-11  1.60000000e+00  8.00000000e-11  1.50000000e+00  8.00000000e-11  1.40000000e+00  8.00000000e-11  1.30000000e+00  8.00000000e-11  1.44000000e-01  8.00000000e-11  1.44000000e-01  8.00000000e-11  1.65600000e+00  8.00000000e-11  1.65600000e+00  8.00000000e-11  1.60017280e+00 
 1.60000000e-10  1.60000000e+00  1.60000000e-10  1.50000000e+00  1.60000000e-10  1.40000000e+00  1.60000000e-10  1.30000000e+00  1.60000000e-10  2.88000000e-01  1.60000000e-10  2.88000000e-01  1.60000000e-10  1.51200000e+00  1.60000000e-10  1.51200000e+00  1.60000000e-10  1.60034501e+00 
 3.20000000e-10  1.60000000e+00  3.20000000e-10  1.50000000e+00  3.20000000e-10  1.40000000e+00  3.20000000e-10  1.30000000e+00  3.20000000e-10  5.76000000e-01  3.20000000e-10  5.76000000e-01  3.20000000e-10  1.22400000e+00  3.20000000e-10  1.22400000e+00  3.20000000e-10  1.60066483e+00 
 6.40000000e-10  1.60000000e+00  6.40000000e-10  1.50000000e+00  6.40000000e-10  1.40000000e+00  6.40000000e-10  1.30000000e+00  6.40000000e-10  1.15200000e+00  6.40000000e-10  1.15200000e+00  6.40000000e-10  6.48000000e-01  6.40000000e-10  6.48000000e-01  6.40000000e-10  1.60031621e+00 
 1.00000000e-09  1.60000000e+00  1.00000000e-09  1.50000000e+00  1.00000000e-09  1.40000000e+00  1.00000000e-09  1.30000000e+00  1.00000000e-09  1.80000000e+00  1.00000000e-09  1.80000000e+00  1.00000000e-09  0.00000000e+00  1.00000000e-09  0.00000000e+00  1.00000000e-09  1.59361459e+00 
 1.06400000e-09  1.60000000e+00  1.06400000e-09  1.50000000e+00  1.06400000e-09  1.40000000e+00  1.06400000e-09  1.30000000e+00  1.06400000e-09  1.80000000e+00  1.06400000e-09  1.80000000e+00  1.06400000e-09  0.00000000e+00  1.06400000e-09  0.00000000e+00  1.06400000e-09  1.59164179e+00 
